Path no.	a	b	c	E_P	R_P	I_P	E	crash	S	Length	No. pixel
1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	38.96454939789355	16.460012568308816	53.47614681474224	659224.1980780127	0.9855547606579156	0.3315481648157219	5014.6501954718515	80.0
2.0	0.30380826716022774	0.30380826716022774	0.3923834656795445	38.987126205864	16.605505699748647	53.31826681239614	659606.1652342988	0.9859169040230149	0.3335216648450483	5014.6501954718515	80.0
3.0	0.2726206628903694	0.2726206628903694	0.4547586742192613	39.01282110321264	16.941565805562092	53.08364686682774	660040.8859833154	0.9867923486389629	0.33645441416465327	5014.6501954718515	80.0
4.0	0.24070663630827838	0.24070663630827838	0.5185867273834431	39.046591067722304	17.345956348275244	52.8506186986157	660612.2252677936	0.9878170004928833	0.33936726626730374	5014.6501954718515	80.0
5.0	0.20909306417365262	0.20909306417365262	0.5818138716526947	39.0622181162281	17.57627296564398	52.74016499807161	660876.6124781875	0.9883670219765728	0.3407479375241048	5014.6501954718515	80.0
6.0	0.17876891510895462	0.17876891510895462	0.6424621697820907	39.37269052544767	18.08610428556423	52.474546568598875	666129.3596074583	0.9891193068434542	0.34406816789251404	5059.082114698815	80.0
7.0	0.15056638178790074	0.15056638178790074	0.6988672364241985	39.37269052544767	18.08610428556423	52.474546568598875	666129.3596074583	0.9891193068434542	0.34406816789251404	5059.082114698815	80.0
8.0	0.12508063787386264	0.12508063787386264	0.7498387242522747	39.37269052544767	18.08610428556423	52.474546568598875	666129.3596074583	0.9891193068434542	0.34406816789251404	5059.082114698815	80.0
9.0	0.10264161723118406	0.10264161723118406	0.7947167655376318	39.37269052544767	18.08610428556423	52.474546568598875	666129.3596074583	0.9891193068434542	0.34406816789251404	5059.082114698815	80.0
10.0	0.08333333333333333	0.08333333333333333	0.8333333333333334	39.81365564828719	18.880779008094144	52.34383840143757	673589.8559811177	0.9909047395091676	0.3457020199820303	5103.51403392578	80.0
11.0	0.30380826716022774	0.3923834656795445	0.30380826716022774	40.51249147666055	11.318429398606323	57.71327926961546	685413.1542269975	0.9038206266724932	0.27858400912980674	5458.969387741482	80.0
12.0	0.27908799279413005	0.360456003602935	0.360456003602935	38.9677123773292	16.491496546592675	53.44214552945076	659277.7111460251	0.985668407253387	0.33197318088186545	5014.6501954718515	80.0
13.0	0.2525475607518618	0.3261777174893931	0.42127472175874514	38.987126205864	16.605505699748647	53.31826681239614	659606.1652342988	0.9859169040230149	0.3335216648450483	5014.6501954718515	80.0
14.0	0.22492206902727188	0.2904980229066276	0.48457990806610046	39.01282110321264	16.941565805562092	53.08364686682774	660040.8859833154	0.9867923486389629	0.33645441416465327	5014.6501954718515	80.0
15.0	0.19707893282386293	0.25453722967015097	0.5483838375059861	39.046591067722304	17.345956348275244	52.8506186986157	660612.2252677936	0.9878170004928833	0.33936726626730374	5014.6501954718515	80.0
16.0	0.1699130442980791	0.21945113544484318	0.6106358202570776	39.36048490025564	17.790369195860908	52.57698582604761	665922.8579642059	0.9887543459751084	0.34278767717440484	5059.082114698815	80.0
17.0	0.14423482239651478	0.18628643654969992	0.6694787410537852	39.37269052544767	18.08610428556423	52.474546568598875	666129.3596074583	0.9891193068434542	0.34406816789251404	5059.082114698815	80.0
18.0	0.12067978194866266	0.15586393194986448	0.7234562861014728	39.37269052544767	18.08610428556423	52.474546568598875	666129.3596074583	0.9891193068434542	0.34406816789251404	5059.082114698815	80.0
19.0	0.09965929981614352	0.12871493529315806	0.7716257648906985	39.37269052544767	18.08610428556423	52.474546568598875	666129.3596074583	0.9891193068434542	0.34406816789251404	5059.082114698815	80.0
20.0	0.08135670661985557	0.10507622718158866	0.8135670661985558	39.37269052544767	18.08610428556423	52.474546568598875	666129.3596074583	0.9891193068434542	0.34406816789251404	5059.082114698815	80.0
